Net Conditions,Transfer_mean,Transfer_std,Transfer_change,"Touch(Right_grasper, Peg)_mean","Touch(Right_grasper, Peg)_std","Touch(Right_grasper, Peg)_change","Grasp(Right_grasper, Peg)_mean","Grasp(Right_grasper, Peg)_std","Grasp(Right_grasper, Peg)_change","Untouch(Right_grasper, Peg, Pole_S)_mean","Untouch(Right_grasper, Peg, Pole_S)_std","Untouch(Right_grasper, Peg, Pole_S)_change","Touch(Left_grasper, Peg)_mean","Touch(Left_grasper, Peg)_std","Touch(Left_grasper, Peg)_change","Grasp(Left_grasper, Peg)_mean","Grasp(Left_grasper, Peg)_std","Grasp(Left_grasper, Peg)_change","Release(Right_grasper, Peg)_mean","Release(Right_grasper, Peg)_std","Release(Right_grasper, Peg)_change","Untouch(Right_grasper, Peg)_mean","Untouch(Right_grasper, Peg)_std","Untouch(Right_grasper, Peg)_change","Touch(Left_grasper, Peg, Pole_G)_mean","Touch(Left_grasper, Peg, Pole_G)_std","Touch(Left_grasper, Peg, Pole_G)_change","Release(Left_grasper, Peg)_mean","Release(Left_grasper, Peg)_std","Release(Left_grasper, Peg)_change"
Normal,22.1,5.6,0,6,2.1,0,1.3,0.5,0,1.6,0.4,0,5.6,1.7,0,1.3,0.4,0,0.9,0.3,0,0.8,0.2,0,3.5,1.1,0,1.2,0.4,0
PLM-10,24.4,8.3,2.3,7.5,4,1.5,1.2,0.5,-0.1,1.9,0.9,0.3,6.4,3.4,0.8,1.3,0.4,0,0.9,0.3,0,0.8,0.3,0,3.7,1.6,0.2,1.1,0.3,-0.1
PLM-30,26.6,7.4,4.5,6.9,2.9,0.9,1.3,0.7,0,1.9,0.8,0.3,7.9,3.2,2.3,1.3,0.6,0,1,0.4,0.1,0.9,0.3,0.1,4.1,2,0.6,1.1,0.3,-0.1
PLM-50,36.2,10.7,14.1,10.7,5,4.7,1.3,0.5,0,2.8,1.4,1.2,9.8,3.7,4.2,1.6,0.6,0.3,1.3,0.6,0.4,1.2,0.4,0.4,5.6,1.6,2.1,1.1,0.2,-0.1
DLM-100,27.1,9.7,5,7,3.1,1,1.2,0.4,-0.1,1.8,0.8,0.2,7.4,4,1.8,1.4,0.6,0.1,1,0.4,0.1,1,0.3,0.2,4.5,1.8,1,1.3,0.5,0.1
DLM-300,34.1,6.5,12,10.4,3.9,4.4,1.6,1.1,0.3,2.5,0.9,0.9,8.8,2.9,3.2,1.6,0.6,0.3,1.2,0.4,0.3,1.4,0.5,0.6,6.1,1.9,2.6,1.6,0.6,0.4
DLM-500,47.9,12.9,25.8,14.4,5.4,8.4,2.1,1.2,0.8,2.9,1.4,1.3,12.9,3.9,7.3,2,1.2,0.7,1.6,0.4,0.7,1.9,0.7,1.1,9.1,2.9,5.6,1.7,0.6,0.5
CLM-10,28.9,8.9,6.8,8.2,3.7,2.2,1.4,0.7,0.1,2.3,1.3,0.7,7.6,3.4,2,1.4,0.8,0.1,1.2,0.4,0.3,1.2,0.6,0.4,4.7,1.9,1.2,1.2,0.6,0
CLM-30,47.4,11,25.3,13.5,4.8,7.5,1.9,0.9,0.6,3.9,2.2,2.3,14.5,4.9,8.9,1.6,0.6,0.3,1.4,0.7,0.5,1.5,0.5,0.7,7.3,1.8,3.8,1.5,0.5,0.3
CLM-50,64.3,25.4,42.2,17.4,8.4,11.4,2.7,2.7,1.4,4.7,2.6,3.1,20.2,10.4,14.6,2.9,2.1,1.6,2.2,0.9,1.3,2.3,0.9,1.5,10.2,3.1,6.7,2,1.1,0.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Conditions,Transfer,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8,MP9,,,,,,,,,,,,,,,,,,,,
Normal,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
PLM-10,2.3,1.5,-0.1,0.3,0.8,0,0,0,0.2,-0.1,,,,,,,,,,,,,,,,,,,,
PLM-30,4.5,0.9,0,0.3,2.3,0,0.1,0.1,0.6,-0.1,,,,,,,,,,,,,,,,,,,,
PLM-50,14.1,4.7,0,1.2,4.2,0.3,0.4,0.4,2.1,-0.1,,,,,,,,,,,,,,,,,,,,
DLM-100,5,1,-0.1,0.2,1.8,0.1,0.1,0.2,1,0.1,,,,,,,,,,,,,,,,,,,,
DLM-300,12,4.4,0.3,0.9,3.2,0.3,0.3,0.6,2.6,0.4,,,,,,,,,,,,,,,,,,,,
DLM-500,25.8,8.4,0.8,1.3,7.3,0.7,0.7,1.1,5.6,0.5,,,,,,,,,,,,,,,,,,,,
CLM-10,6.8,2.2,0.1,0.7,2,0.1,0.3,0.4,1.2,0,,,,,,,,,,,,,,,,,,,,
CLM-30,25.3,7.5,0.6,2.3,8.9,0.3,0.5,0.7,3.8,0.3,,,,,,,,,,,,,,,,,,,,
CLM-50,42.2,11.4,1.4,3.1,14.6,1.6,1.3,1.5,6.7,0.8,,,,,,,,,,,,,,,,,,,,
